Id,review,ratings
00603010-2b4b-4694-a4a4-46eef450d2b8,Ahsh,5
22862e0b-7123-460e-a472-078fb1f2e2c4,Bbb,5
9536c197-ef49-4f8d-99e2-a25da6b85885,Md Sajir Alam,5
69adbb15-e84b-4d2f-bce8-c45b837870cb,nice app i love this app,5
3bdda193-05f3-4631-9983-03340a7d0177,Just awesome it's the best app in the world. It's out of this world,5
415a5f1f-60fb-4b3c-81b1-d1567b22fe2d,ارشد خان,5
ebcdf295-772b-433b-80b0-198f027d01db,nice apps,1
f17b75a4-680e-4cac-b790-381cf060f77a,Good,5
542ecee0-7aa1-49a4-8fab-fbf4599e568c,",,, w",1
6423a76e-7362-4e44-ae29-f3c3ada7d4a8,Tq,5
774d9a04-d333-4dbe-9282-840edf7af92c,The best way to spend often times,5
741dc37a-61e1-41b6-93ab-1574dcff0184,Good service,5
8e09c73f-bc62-43fd-9909-8f8e1c382e1b,Nice 👍 app 🆗👍,5
7c1243d8-0966-4ec1-a341-c72ee10ec495,Nice,1
bcaeade0-bac8-4424-a6ad-5699233168d3,"অন্য কোনো যা মঈনুল াসসসাঅাাাাূাঅ,দরদ ধবধবে ধ ধরা ধরা পড়ে গেল",4
6bc2c196-124a-4ad7-a94b-1943d344a05b,Unable to login. Not connecting to internet. Taking too long and gets hung in redmi note 8 pro. HThis app is not responding while Facebook lite is working. Bad experience,1
a8d87f70-0b62-4b43-b7b5-4e03f40cbf24,Help,5
d4a2826d-8b4e-4cd1-a85f-d5b242736997,Best,5
0d9b4f78-5d12-4e6c-aebe-f4196630133b,Jor Law Noe,5
0f49d8c4-6155-48f4-b837-3ee20f74b857,Wow,5
ddd1fb83-b9d9-4995-bca8-6c8385028cc1,ុំុំុំុំ់ . មក. មមមន.,5
ffd3a5e9-94a2-4e0c-ba0b-9d42d1d8f064,Nice apk,5
ea4c08c2-79fa-43fd-a3bf-d5dc39685291,Op,1
04922fdc-a102-4385-b50e-2a5675a555d8,"the worst community standard ever, your algorithm is bad, too many ads and you dont even know what is hatespeech.",1
8809c347-de01-4b80-b278-329410b66edf,The developer didn't fix the bugs the users experiencing. I have been using facebook for 7 years and this would be the worst app update happened. I will edit my rating if you fix my account problem.,1
251fceb6-987f-4500-8112-e5db6df9e093,update,1
6609c0de-026b-43ec-9398-1474ca654d92,Connect,5
cb927770-fde8-4dd2-ad0f-8c1e6c9c1696,"As before, bloat ware. Unable to uninstall.",1
a209cef7-d1af-4fda-8a02-112ad1a55519,Plz give me i phone 14 pro Max plz accept my request plz plz plz plz contact my channel free fire Mahakaal FF yt,5
60e0543f-ae8c-4129-9851-a01de9282a84,Very nice app,5
71eb4782-7e0d-44eb-adaf-b6c877f206f0,Bad,1
92c7861f-786f-4a5c-887b-bacf86de8cc3,Nice,5
bbc3b99f-96b9-4ec4-956e-7208ea5ad163,Your app sucks making it hard for me to get on.,1
215949ce-1b45-40b6-af47-e010215fac05,Nice,5
a956fe77-05bc-4dfd-b5c0-bd930f243176,🥰🥰 🥰🥰 😂😂😂😂😂😂😂😂😂 Nbbbn,5
bacfd9a1-bf8c-4955-8fb3-5daba5fca070,I did not like this app at all like before . All Mark no is to disable each and everyone account. That is the real why I no fit rate this happen . He no good like before,1
a927c936-00d5-434f-b2c7-429f2f02fcb0,"The world in not only affected due to corona virus some apps & it's policies are too, like this app.",1
c835e9af-8d78-4a31-8882-21ce6c27e7d0,"Dalu,Hillary",5
a6ee6b7d-caef-44a2-b34a-0bd963007546,Thank facebook,5
917565b6-cc45-499c-b950-f8c6c57d2f76,0p9p,5
c0302902-b943-4e17-a3e5-d3b1703a1d11,I haven't seen videos section,3
ce2a9df5-a612-4912-9559-2749d133c661,Nice,5
3dad1aac-ae53-496f-a6e7-dac6152b3ab0,vv TFT mam nn nn hn NV vv nn vv mm BB BB BBB BB v BB BB NV CV tv e valo r CMM BB c xx BB. N NV BB TM v. V mm CD vv,1
58391c2d-9a6b-4338-89f6-c944ea9b6b87,Awesome,5
c14fdec6-6e4d-4f46-a009-fee771d74521,👩‍👧‍👧😸😸🧶,2
0a49a728-bcee-4ff4-bb22-6a3caf979397,Good good,5
ff190197-f24c-49a8-a247-c5a95d57b757,𝓗𝓲𝓲 𝓽𝓱𝓲𝓼 𝓪𝓹𝓹 𝓲𝓼 𝓼𝓸𝓬𝓲𝓪𝓵 𝓶𝓮𝓭𝓲𝓪 𝓪𝓷𝓭 𝓸𝓽𝓱𝓮𝓻 𝓹𝓮𝓸𝓹𝓵𝓮 𝓪𝓻𝓮 𝓰𝓸𝓲𝓷𝓰 𝓫𝓮𝓽𝓽𝓮𝓻 𝓽𝓱𝓪𝓷,5
ad91353f-5f5b-440c-8ee6-c29bc88cc922,Fiee fire give me diamond,5
7cef222a-cd16-43fa-906c-0bb32fa14339,I hate this apps,1
012e26b9-8557-4cca-a9dd-71fb845690bd,love,1
80589b2b-92ad-4c7b-9feb-3eb7f2b5d507,😈😈😈singer,5
5e2dc9d7-ece8-4637-82db-a18a19add204,Nc,5
af47e61c-0059-4d80-8079-45f25982c93f,Super,5
ed465a5f-8072-4c70-8ceb-8e23ee57434a,YouTube office chainal you want me to come back and said,5
3034a444-f2bf-4f0f-b17d-f74826814b19,😁😁😁,5
4ad70cfa-816a-48b4-81db-c9e78c78a0bf,"70mb app turns into 3000mb in weeks, othe Buggs as well",4
56bf25db-d291-4aee-8de9-7bb6fcad62c9,valo,5
596c4f1b-2814-44f6-a7ec-7a36263e5635,Good,3
ae017aed-c829-488b-a5f2-b7dfff548039,H N J,1
d560f999-e3b6-45db-ba0c-daa4b80995c4,Ok,5
0b0061a0-a6f2-4af0-aa99-9bfee5395cbb,Fantastic,5
c2731e69-e955-4689-a36d-b14f25e0c14c,Wesszeitih,3
5f8d01d2-6600-4960-8fdd-150d1565c49f,🥰🥰🥰,5
64d9e874-a9a9-4645-bd52-a817eb5c2ec8,"Terrible. Leftist, Liberal Propaganda Social Media App that supports the Democrats.",1
c0edcecd-1fab-40f2-9fa4-64ef9386fead,Amazing app,5
